subset,id,questionText,cluster_id,clusters
stack,9,What should I do with a just-baked lasanga?,0,"[['Lasanga will probably only be eaten 3-4 hours from now', 'Hot lasagna will raise the temperature of your fridge', 'This may degrade some foods', ""it depends on what's in lasagna"", 'The danger zone is 40°F to 140°F (4°C to 60°C)', 'Food can be kept in the danger zone no more than 4 hours', 'You will be safe from all bacterial growth', ""Bacteria grow between 40°F and 140°F (often called the 'danger zone')"", 'If you leave the oven door closed it will stay clean and warm for a few hours', ""Your lasagna wouldn't be in the danger zone 4 hours"", 'lasagna was mostly sterile from the baking process']]"
stack,9,What should I do with a just-baked lasanga?,1,"[['It has never been a problem', 'I always do that']]"
stack,9,What should I do with a just-baked lasanga?,2,[['lasagna usually improves with more cooking']]
stack,9,What should I do with a just-baked lasanga?,4,"[['now the dish is cold, not room temperature']]"
stack,10,How can I strengthen my fretting hand away from my guitar?,0,"[['Grip Master comes in different tensions so you can start from whatever current level your fingers can handle', ""I don't get as much time with my guitar as I'd like"", 'I can easily and quietly use it at my desk at work while mindlessly working on something else', 'My ring finger seems especially eager to follow my middle finger', 'These links to Youtube videos by Greg might prove very useful (or at the very least, entertaining)'], [""I would like to be 'in shape' for the time of day when I can play"", 'Grip Master is a grip training device which strengthens your fingers considerably'], [""Just find some of the short videos on YouTube, and you'll get the idea""], ['This is not at all a question of strength']]"
stack,10,How can I strengthen my fretting hand away from my guitar?,1,[['Many of the answers so far address strength primarily']]
stack,10,How can I strengthen my fretting hand away from my guitar?,2,[['Holding it will bring up your stamina and strength at the same time']]
stack,10,How can I strengthen my fretting hand away from my guitar?,4,"[['Think about the motions, grips and movements you make on the guitar']]"
stack,10,How can I strengthen my fretting hand away from my guitar?,6,[['There is a PDF from Prohands that has many exercises available for musicians with demonstrations']]
stack,10,How can I strengthen my fretting hand away from my guitar?,10,[['What you really need for almost any musical instrument is flexibility and finger independence']]
stack,10,How can I strengthen my fretting hand away from my guitar?,11,[['Powerball is quite effective']]
stack,11,Should I use 'or' or 'nor' after a negative statement?,0,"[['See Part 2 #3 in the above website', ""'She didn’t speak slowly or clearly' has a better ring to it"", 'We effectively ignore the ""not"" when considering the rest of the sentence structure', ""'He is not interested in math nor science' won’t work"", 'or is connecting two nouns', ""Word's grammar checker is mediocre at best."", 'the negative is established by the not', ""according to Bryan Garner 'the initial negative carries through to all the enumerated elements'"", ""Word's grammar checker has a tendency to look at a sentence and suggest the opposite of the correct word."", 'your direct objects (the SDK interfaces, any other reference material) are noun (phrases)', '""Does not cover"" is a single verbal unit'], [""Word's grammar checker was especially bad with [your/you're] in versions up to and including 2003.""], [""the structure 'not A or B' is correct""]]"
stack,11,Should I use 'or' or 'nor' after a negative statement?,1,"[[""Both of the following sentences will work: 'Santa will not permit naughty behavior or even consider bringing presents.' 'Santa will not permit naughty behavior nor even consider bringing presents.'""]]"
stack,11,Should I use 'or' or 'nor' after a negative statement?,2,"[[""'I have no time and no money.'""]]"
stack,11,Should I use 'or' or 'nor' after a negative statement?,3,"[[""'Santa will not permit naughty behavior and will not even consider bringing presents.'""]]"
stack,12,What is the metaphoric meaning of silo?,0,"[[""grain silos don't communicate with each other"", 'Typically they are perceived as being less interested in the overall success of the organization than to maintaining their normal state', 'managers occupy a privileged position in terms of resources and influence, and use this for their own, self-interested, functionally-oriented motives rather than for the wider benefit of the business', 'a pit or other airtight structure in which green crops are compressed and stored as silage', 'A functional silo in an organization or business has a very positive place', 'According to the Oxford Dictionary, there is a literal meaning of silo: a tower or pit on a farm used to store grain', 'A grain elevator is a collection of bins', 'the metaphor is for isolation', 'Their little piece of the world does not interact with the rest of the organization', 'They have (and work to maintain) barriers to groups around them', 'They make decisions without consideration of how they affect the rest of the business', 'The other silos can be emptied shipped refilled with new product, etc.', 'My study manual for the course put it as this', 'It does not affect the silo in question', 'It should have no interaction with any other silo'], ['Every bin could have a unique product and once a product is there it just sits'], ['there is also the metaphorical meaning: a system, process, department, etc. that operates in isolation from others']]"
stack,12,What is the metaphoric meaning of silo?,2,[['A healthy business with layers must take such considerations of the whole as well as other parts']]
stack,13,Can I control the rate at which new prisoners arrive?,1,"[['Maximum security: $1,000'], ['Medium security: $500'], ['Minimum security: $300']]"
stack,13,Can I control the rate at which new prisoners arrive?,2,"[['That should allow you to stabilize your current bunch of prisoners without gathering new problems.', 'You CAN avoid gaining new prisoners by removing your delivery area next to the road.', 'Without that delivery area, they just keep going.', ""The game logic has no idea where to put the prisoners, so they don't get off the truck, and just continue on.""], ['The alpha version will continually send you new prisoners each and every day.']]"
stack,13,Can I control the rate at which new prisoners arrive?,3,"[['I believe for every six squares your holding cell has, your prisoner space is increased by one, in addition to whatever cells you have created.']]"
stack,13,Can I control the rate at which new prisoners arrive?,4,"[['As noted by @Crowbeak.'], ['As of Alpha 2']]"
stack,13,Can I control the rate at which new prisoners arrive?,6,"[[""I don't want to be flooded"", ""I don't want to descend into chaos""]]"
stack,13,Can I control the rate at which new prisoners arrive?,7,"[['In Alpha 2, any new prisons you create have an option to only send prisoners when you have room for them.']]"
stack,14,What's the difference between an -ing noun and a real noun,0,"[['Developing is a 1994 short film directed by Marya Cohn, about the relationship between a girl and her single mother, who has breast cancer', ""'Development' is used as in 'That's a big development'"", 'by doing so', 'I was proud of him being my son.', 'Compare ""The king\'s arrival was met with much enthusiasm"" vs. ""We are quite tired of his usual arriving very late"".', 'Take for instance ""extension"" vs. ""extent"" or ""export"" vs. ""exportation.""', 'There are certain terms to describe certain moods.', ""'a ripening' (as in 'we can observe the ripening of the fruit') works for me"", ""It's the form of a verb called the gerund, and it has a dual nature, -one of a verb and one of a substantive."", 'such going-ons', ""'Developing nations should form a committee...'"", 'They thought that Tom would bring a big restructuring for this small town', 'The film stars Natalie Portman as Nina', 'developing is one of the stages of the photographic process', 'That is the sophistication of English language.'], [""'a developing' sounds odd to me""], [""'an understanding' is an example""], [""It's not that some verbs have a corresponding noun""], ['a hanging was once a public amusement'], ['his dangerous driving'], ['Developing can be used as an adjective']]"
stack,14,What's the difference between an -ing noun and a real noun,1,[['he boasted of his having killed her']]
stack,14,What's the difference between an -ing noun and a real noun,2,"[['your hair wants cutting', 'the garden needs weeding']]"
stack,15,What use is the sniper rifle in Mass Effect 3?,0,"[[""you aren't a Soldier or Infiltrator"", 'Snipers like the Widow and Javelin will allow you to one-shot enemies like Marauders, Centurions, and Geth Rocket Troopers from full shields, provided you have stacked damage on your Adrenaline Rush or Tactical Cloak.', 'Infiltrators have the tools needed to make Sniper Rifles work for them', 'Sniper Rifles have high armor penetration', 'a sniper rifle is the easiest way to deal with an Atlas', 'They provide the most burst damage against armor.', 'every time you pull up your scope time slows down so you can easy pick them off one-by-one', 'Operational Mastery skill increases the sniper damage and time dilation effects at certain levels', 'my current M-29 Incisor II allows me to carry 138 bullet and it fires 3 bullets at a time', 'Time dilation makes it easy to line up headshots against small targets like the soft points on Brutes and Guardians', 'Soldiers have to use the Adrenaline Rush ability to slow down time which can allow you to take a careful headshot or two', 'combine it with time dilation to make headshots easier and you can take out most enemies in one pull of the trigger', 'Soldiers have the tools needed to make Sniper Rifles work for them', 'Sniper Rifles allow for a great deal of precision when you fire', ""Infiltrators actually get a passive slowdown every time when you're scoping with a Sniper Rifle""], ['you know you are going to be going up against an Atlas']]"
stack,15,What use is the sniper rifle in Mass Effect 3?,1,"[['They are heavy', 'The sniper is pretty much unused during the game', 'All encounters are pretty much close or medium range', ""Without the time dilation benefit that Soldiers and Infiltrators can gain, it's difficult to line up a shot on a moving target under fire"", ""Getting off one round isn't worth the additional recharge time to a Vanguard, Adept, Engineer or Sentinel"", 'I would need this extra reload time on my abilities']]"
stack,15,What use is the sniper rifle in Mass Effect 3?,6,"[[""It's high, semi-auto rate of fire & generous ammo capacity bear more resemblance to a light rifle (similar to The BR-55 or DMR rifles from Halo) than to some of the more traditional 'bolt action' sniper models""]]"
stack,15,What use is the sniper rifle in Mass Effect 3?,7,"[['The effective range, power & weight vary significantly between all models, even before you factor in modifications or upgrades']]"
stack,16,What are the children of two Muggle-borns called?,0,"[[""When Yaxley, a Death Eater, refers to them, he calls them 'brats of Mudbloods'"", 'the fact that your parents are wizards wouldn’t purify your blood', 'Pure-blooded for children of wizards (Weasley)', 'the underlying idea of blood-status is that some people diluted their pure wizard blood with Muggle blood', 'As far as we know', 'Squib for born in the wizard but not a wizard (Filch)', 'Ron defines a Mudblood as someone with non-magic parents', 'your parents likely had no wizard blood', 'This implies that there’s no specific name for them, otherwise it’s likely Yaxley would use that name if it existed', 'There doesn’t seem to be any specific name that the pure-bloods use for the children of Mudbloods', 'in the last book Muggle-Borns are thought to have stolen magic from wizards', 'Those people are still racially inferior.'], ['Mudblood for a mixed child of wizard and Muggle (like Hermione)']]"
stack,17,What can I do with vegetable water?,0,"[['Chili powder, soy/hot sauce, lemon juice, salt, pepper, garlic, matching spices, chopped onion and green chili, milk products and dressings can be added to vegetable tea', ""Don't consider only wheat flour to make bread with vegetable tea"", ""You may be able to sense vegetable tea's flavor"", 'The vegetable water makes a great base for both', ""I'm often making something that tastes good with stock or gravy"", 'Lemon juice can be added to vegetable tea', 'Vegetable tea is suitable if you are fine with unsweetened drinks', 'I make a vegetable stock', 'Vegetable tea is as satisfying as normal water anyway'], [""I usually add some other veggies 'disposable parts' to that water before boiling"", 'Some salt, sodium bicarbonate, citric juice and Aid can be added to vegetable tea', 'Chaya leaf [Cnidoscolus aconitifolius] is similar to broccoli water taste'], ['Temperature is your choice'], ['Vegetable tea is preferably warm/hot']]"
stack,17,What can I do with vegetable water?,1,"[[""if you can't or don't use it for your own consumption""]]"
stack,17,What can I do with vegetable water?,5,"[[""letting it cool enough that you don't kill the yeast""]]"
stack,18,How can I pour a concrete pad with a circular hole in it?,0,"[['I am familiar with the techniques for using dimensional lumber for angular concrete pads and even using plywood for curved ones'], ['Styrofoam circles are in the center'], ['The kind they have to hold ice and drinks/kegs seems about the size you want'], ['several old 5 gallon buckets leftover from construction are used in our basement']]"
stack,18,How can I pour a concrete pad with a circular hole in it?,1,"[['The only difference in this latter instance is that you are pouring the concrete outside the Sonotube, rather than inside', 'Sonotubes also have been used for concrete footings', 'Expect the cost/foot to be higher for small height pieces, rather than for purchasing a full-size Sonotube', 'The end result will be a well-defined, beautiful circle'], ['Sonotubes typically are used for making tall columns'], ['Staking can be with 1/2"" diameter rebar, with lateral rebar pieces tied to the verticals, so as to hold the top of the tube in place']]"
stack,18,How can I pour a concrete pad with a circular hole in it?,2,"[['A wooden barrel has a 21""-24"" diameter at the head']]"
stack,18,How can I pour a concrete pad with a circular hole in it?,3,[['some nice edging (of brick or otherwise) is installed first']]
stack,18,How can I pour a concrete pad with a circular hole in it?,4,"[[""A firm base won't sink when dampening the ground prior to the pour""]]"
stack,19,Why is my baby crying?,0,"[['Strangeness in environment', 'Startled', 'Too much light/noise during sleep'], ['Bored'], ['Diaper wet/dirty/tight'], ['Fear of dark'], ['Foreign object on skin'], ['Gas pain'], ['Hair-snared digits'], ['Hungry/Thirsty'], ['Hurt self'], ['Lonely'], ['Missing toy or other object'], ['Rash'], ['Reflux'], ['Sick'], ['Teething'], ['Tired'], ['Too cold/hot'], ['Unswaddled newborn']]"
stack,19,Why is my baby crying?,1,"[[""I can't think very clearly once the crying starts""]]"
stack,19,Why is my baby crying?,2,[['If the baby is tired and is a newborn']]
stack,19,Why is my baby crying?,3,"[[""Gassy (and burpy and hiccupy; most common when it's not hunger)"", 'My response to crying is always to check if the baby is showing signs of wind (knees to chest, red face)']]"
stack,19,Why is my baby crying?,4,"[['My response to crying is always to check if the baby needs fed', ""if the last feeding was more than two hours ago, though she feeds on demand so we've seen her take a 4oz bottle and then want another one in 30 minutes, then sleep for 4 hours after that""]]"
stack,19,Why is my baby crying?,5,"[['This allows a simple set of rules to be followed to sort the problem', 'you keep track of what the baby is eating, sleeping, burps, diaper changes, etc.', 'I like to keep things simple', 'I have literally never seen these techniques fail with our baby', 'For a healthy baby, Hungry, Dirty Nappy/Diaper, Wind, Tired are the main issues', 'you have gone through a cry reasons checklist']]"
stack,19,Why is my baby crying?,8,[['you need to keep track of a crazy amount of stuff']]
stack,19,Why is my baby crying?,9,"[[""It is hard to soothe, but Dr Karp's 5 S's work wonders""], ['PURPLE crying generally occurs in the evenings'], [""PURPLE crying is often labelled 'colic' and lumped in with gas/heartburn/stomach upset""]]"
stack,19,Why is my baby crying?,10,[['If the baby is tired and is older']]
stack,19,Why is my baby crying?,12,"[['you need to ration your strength', 'both parents and other caregivers should give each other breaks from the crying to recover', 'your baby is likely to cry'], ['finding some help is important']]"
stack,19,Why is my baby crying?,13,"[[""My response to crying is always to check if the baby's nappy is dirty""]]"
stack,19,Why is my baby crying?,14,[['My response to crying is always to check if the baby is tired']]
stack,19,Why is my baby crying?,15,"[[""The lists include 'burp'""]]"
stack,19,Why is my baby crying?,16,[['your baby continues to cry']]
stack,20,"When baking, is it better to use a gas or electric oven?",0,"[['The extra mass will prevent oven temperature fluctuations', 'Whichever oven you use', ""A gas oven you don't have control over bottom heat and top heat"", 'To even the temperature in an oven (reducing fluctuations from cycling)']]"
stack,20,"When baking, is it better to use a gas or electric oven?",1,"[[""gas doesn't dry out the ingredients as much"", 'it may take slightly longer to get a golden brown finish']]"
stack,20,"When baking, is it better to use a gas or electric oven?",2,[['for some cooking processes dry heat may be preferable']]
stack,20,"When baking, is it better to use a gas or electric oven?",5,[['electric ovens are more popular']]
stack,20,"When baking, is it better to use a gas or electric oven?",6,[['Accuracy is one of the most important feature for cooking']]
stack,20,"When baking, is it better to use a gas or electric oven?",8,[['this may be due to economics rather than for effect']]
stack,20,"When baking, is it better to use a gas or electric oven?",11,[['the vapor coming off of the dough or batter needs to removed quickly for browning and for the inside to cook well']]
stack,20,"When baking, is it better to use a gas or electric oven?",12,"[['There are a number of posts on the forum recommending the use of oven thermometers and also keeping a pizza stone in an oven', 'These recommendations help achieve the goals of accurate temps and even heat', 'The keys to baking are: Accurate temperature, Even heat, Humidity']]"
stack,20,"When baking, is it better to use a gas or electric oven?",13,"[['a gas flame for the range is preferred'], ['the dry, even heat of an electric oven is preferred']]"
stack,20,"When baking, is it better to use a gas or electric oven?",14,[['the more easily controlled heating element']]
stack,20,"When baking, is it better to use a gas or electric oven?",16,"[['My Aunt makes hers in an electric oven and the outside looks yellow and anemic and dry, not moist', ""Gas ovens always browned my mom's nut rolls and there were no cracks""]]"
stack,21,Is there any difference between 'let me go' and 'let go of me'?,1,"[['They could be physically detaining you', ""let go of means release, as from one's grip"", 'let me go means allow someone or something to escape or go free', 'They may also be holding you through authority and not letting you go to the cinema, for example', ""'Let go of me' is in much the same way that 'Let go of the cup' commands someone to release the cup physically""], [""'Let me go' is the latter""]]"
stack,21,Is there any difference between 'let me go' and 'let go of me'?,3,[['It probably reflects the speech patterns that were common at the time of its origin']]
stack,21,Is there any difference between 'let me go' and 'let go of me'?,4,"[[""Inserting an 'of' would make it incorrect""]]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",0,"[[""When used with periods of time, bi means 'two' or 'every two'""]]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",1,"[['To avoid confusion', ""Bi- usually means 'every two' (as in 'every two [weeks/months/years, etc.]')"", ""Bi- can also mean 'twice every [week/month/year, etc.]'""]]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",2,"[['the definition of the rocket coordinates had dual meanings and changed arbitrarily on the whim of a user', ""The 'bi' prefix is not used consistently in terms of time intervals"", 'bicentennial, biennial mean Occurring once in every two', ""When used with periods of time, semi means 'half of' or 'occurring twice within a period of time'"", ""'biannual' is understood as meaning twice a year"", ""'biweekly' and 'bimonthly' can mean either twice a week or month, or once every two weeks or months"", 'twice-yearly and half-yearly fairly transparently mean twice a year and every six months, respectively', ""'bicentennial' is understood as once every two hundred years"", ""The prefix 'bi-' comes from the Latin 'bis' meaning 'twice'"", 'biannual, bimonthly mean Occurring twice in every one', 'biennial, biennium mean Lasting for two']]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",4,"[[""I save bi- for 'every two' and use semi- to mean 'twice every.'""]]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",7,"[['The meanings of the prefix bi are: Occurring twice in every one, Occurring once in every two']]"
stack,22,"""Biweekly"", ""bimonthly"", ""biannual"", and ""bicentennial""",11,"[[""biannually means 'Twice per year'"", ""semiannually means 'In a semiannual manner, twice yearly'""]]"
stack,23,How can I encourage language development in my infant?,0,"[['He would rather watch and listen to you anyway', 'letting your child know that the noises your child makes are important encourages your child to talk', 'These sounds naturally occur from muscle development from sucking.'], ['children accidentally learn things'], ['encouraging more advanced consonant sounds helps your child develop speech', 'showing excitement encourages your child to talk'], ['if your child learns to enjoy imitating you, your child will also begin imitating your speech']]"
stack,23,How can I encourage language development in my infant?,1,"[[""'Motherese' provides an exaggerated model of the intonation and inflection of speech."", 'When he begins to vocalize, listen intently with direct eye contact and exaggerated facial expressions.', ""When he stops 'talking', then respond with 'motherese' stopping when he begins again.""]]"
stack,23,How can I encourage language development in my infant?,2,[['He has something to say in every situation']]
stack,23,How can I encourage language development in my infant?,4,"[[""When you get to the point where you're asking questions try to ask questions that force an answer rather than just a yes or no response""], [""having 'conversations' with your child helps your child learn the ebb and flow of how conversations work"", 'Describe what you are looking at and make any accompanying sounds that matches the pictures.', 'Read picture books to your baby.', 'As noted in Slate and NY Times']]"
